FirstName,LastName,ExitDate,Supervisor,ADEmail,TerminationType,TerminationDescription,JobFunctionDescription,Employee ID
Latia,Costa,45110,Jacob Braun,latia.costa@bilearner.com,Involuntary,Me see picture nature degree benefit.,Technician,3433
Sharlene,Terry,44955,Tracy Marquez,sharlene.terry@bilearner.com,Involuntary,Blue community type skill story.,Engineer,3434
Joseph,Martins,45106,George Jenkins,joseph.martins@bilearner.com,Resignation,Summer personal bag.,Engineer,3436
Dheepa,Nguyen,43773,Brian Miller,dheepa.nguyen@bilearner.com,Retirement,Alone once than. More condition pay far.,Technician,3438
Bartholemew,Khemmich,44892,Charles Parks,bartholemew.khemmich@bilearner.com,Involuntary,Foot in theory minute recognize test.,Splicer,3439
Xana,Potts,44974,Gregory Walker,xana.potts@bilearner.com,Resignation,Degree wish science when thing week old.,Controller,3440
Kaylah,Moon,44728,Ashley Scott,kaylah.moon@bilearner.com,Retirement,Fear particular method stage.,Laborer,3442
Kristen,Tate,45058,Lauren Jones,kristen.tate@bilearner.com,Voluntary,Wall body wonder successful.,Coordinator,3443
Bobby,Rodgers,44596,Matthew Jackson,bobby.rodgers@bilearner.com,Voluntary,Visit foot nearly radio treatment.,Director,3444
Mariela,Schultz,45095,Michelle Evans MD,mariela.schultz@bilearner.com,Involuntary,Unit pass office southern break one.,Technician,3447
Angela,Molina,44141,Patricia Cook,angela.molina@bilearner.com,Retirement,List class mind.,Specialist,3448
Gerald,Preston,45073,Ashley Reeves,gerald.preston@bilearner.com,Involuntary,Price third parent evening.,Technician,3449
Reilly,Moyer,44899,Stanley Harvey,reilly.moyer@bilearner.com,Resignation,Cause military a sense. Doctor property may.,Operator,3450
Carlee,French,44876,Michael Bradshaw,carlee.french@bilearner.com,Voluntary,Station another son positive.,Technician,3451
Charity,Miranda,44747,Daniel Rodriguez,charity.miranda@bilearner.com,Resignation,Pm local take example fund. Small heavy listen.,Manager,3455
Cory,Robinson,45070,Elizabeth Anderson,cory.robinson@bilearner.com,Voluntary,Several young whether that expert.,Laborer,3458
Saniya,Yu,44733,Erin Bailey,saniya.yu@bilearner.com,Retirement,Science end approach democratic treatment.,Splicer,3459
Lincoln,Compton,44470,Tammy Conner,lincoln.compton@bilearner.com,Resignation,Base scene central unit per argue. Might last of.,Foreman,3461
Aliana,Nolan,44456,Brianna Mathews,aliana.nolan@bilearner.com,Involuntary,Yourself book budget product.,Coordinator,3462
Kayden,Dodson,44395,Jessica Peters,kayden.dodson@bilearner.com,Retirement,Paper can score else investment.,Tower Hand,3463
James,Duke,44813,Mark Harris,james.duke@bilearner.com,Involuntary,Stuff different color how.,Mechanic,3464
Clayton,Walker,45026,Jon Holden,clayton.walker@bilearner.com,Retirement,Sign figure employee card education.,Supervisor,3466
Ryland,Shepherd,44931,James Berry,ryland.shepherd@bilearner.com,Resignation,Right cut matter arrive difference.,Driver,3469
Esteban,Gilbert,43766,Gail Ali,esteban.gilbert@bilearner.com,Retirement,Speak professor statement result.,Technician,3470
Vance,Trujillo,45029,Rebecca Simpson,vance.trujillo@bilearner.com,Resignation,Expert challenge education air none money wide.,Foreman,3475
Charlie,Koch,45113,Samantha Cardenas,charlie.koch@bilearner.com,Voluntary,Buy become improve guess business know.,Engineer,3476
Thomas,Chandler,43474,Richard Hodges,thomas.chandler@bilearner.com,Resignation,Read family dark scene scene guess.,Groundman,3478
Sarai,Stone,45018,Madison Wilson,sarai.stone@bilearner.com,Involuntary,Somebody great could yet.,Technician,3479
Jerimiah,Harmon,44850,Eric King,jerimiah.harmon@bilearner.com,Retirement,View vote contain within fight cup party war.,Supervisor,3480
Leland,Allen,44347,Brandon Harris,leland.allen@bilearner.com,Voluntary,Buy house certain wrong research chair.,Splicer,3481
Cristal,Bolton,44234,Matthew Flores,cristal.bolton@bilearner.com,Resignation,Miss onto none our discussion year.,Lineman,3482
Brendon,Mcconnell,45085,Victoria Krause,brendon.mcconnell@bilearner.com,Involuntary,Nature finish modern push former American.,Engineer,3486
Tia,Ellis,45129,Daniel Cabrera,tia.ellis@bilearner.com,Retirement,Night company image able suggest.,Laborer,3495
Joel,Mcmillan,45099,Peter Harvey,joel.mcmillan@bilearner.com,Voluntary,About allow article. For gas player magazine.,Laborer,3498
Maci,Frost,44550,Patrick Daniel,maci.frost@bilearner.com,Involuntary,Seem hand dog. Us six beyond place fund well.,Technician,3499
Nevaeh,Lucas,44003,Bryan Douglas,nevaeh.lucas@bilearner.com,Voluntary,Game hour boy not write somebody owner.,Mechanic,3500
Garrett,Zimmerman,44803,Destiny Hopkins,garrett.zimmerman@bilearner.com,Retirement,Worker medical commercial participant tough leg.,Technician,3501
Laila,Woodard,45056,Jordan Vega,laila.woodard@bilearner.com,Voluntary,Fund nor half early miss follow.,Technician,3506
Ivan,Huff,45023,John Miller,ivan.huff@bilearner.com,Retirement,Line later deal stand sometimes too mind.,Manager,3507
Karli,Barker,44561,Shawn Dudley,karli.barker@bilearner.com,Resignation,Tell paper every.,Director,3511
Tyrone,Sosa,45099,Lindsay Chang,tyrone.sosa@bilearner.com,Voluntary,Why sport must page bad.,Coordinator,3512
Damaris,Cisneros,45070,Sharon Ruiz,damaris.cisneros@bilearner.com,Involuntary,Something sense information final building.,Laborer,3513
Kinsley,Flowers,44905,Mary Reilly,kinsley.flowers@bilearner.com,Retirement,School see rest firm I.,Controller,3515
Deborah,Love,44948,Eric Goodman,deborah.love@bilearner.com,Retirement,Source doctor rock group this.,Coordinator,3516
Roberto,Michael,44746,Cheryl Henry,roberto.michael@bilearner.com,Involuntary,Little imagine career he produce program.,Coordinator,3518
Elaine,Ewing,44622,Dan Hernandez,elaine.ewing@bilearner.com,Resignation,Your very trip successful memory to while out.,Groundman,3519
Caiden,Munoz,44939,Teresa Daniel,caiden.munoz@bilearner.com,Involuntary,Red some option.,Manager,3520
Rohan,Chapman,44798,Tony Mcconnell,rohan.chapman@bilearner.com,Resignation,Theory grow future week house.,Laborer,3523
Emmanuel,Franklin,44685,Adam Gibson,emmanuel.franklin@bilearner.com,Resignation,Inside week also so.,Laborer,3524
Clayton,Mccormick,44936,Stephanie Duke,clayton.mccormick@bilearner.com,Retirement,Surface vote old picture.,Foreman,3525
Ahmed,Hawkins,44252,Hannah Snyder,ahmed.hawkins@bilearner.com,Retirement,Especially thing recognize year fine shoulder.,Lineman,3527
Callum,Mcdaniel,44067,Samuel Moore,callum.mcdaniel@bilearner.com,Voluntary,Camera spring color about energy provide claim.,Top Hand,3529
Slade,Griffith,45123,Kelsey Gibson,slade.griffith@bilearner.com,Voluntary,Pass language out side age evidence.,Administrator,3533
Veronica,Rowe,44714,Brian Morton,veronica.rowe@bilearner.com,Retirement,Popular west moment natural step activity.,Engineer,3535
Neveah,Rowe,44981,Dawn Perez,neveah.rowe@bilearner.com,Retirement,Manager lead both sing.,Foreman,3537
Keith,Baxter,44625,Diane Parker,keith.baxter@bilearner.com,Resignation,And after why station much cell low.,Engineer,3538
Maya,Mccann,44843,Dakota Robinson,maya.mccann@bilearner.com,Retirement,American rule surface very figure.,Supervisor,3540
Aaron,Weber,45131,Melanie Garcia,aaron.weber@bilearner.com,Involuntary,Read stand western white article campaign dog.,Technician,3541
Samara,Mcbride,45116,Laura Salinas,samara.mcbride@bilearner.com,Retirement,Political likely land country.,Foreman,3544
Paris,Carr,44953,Jeffrey Huffman,paris.carr@bilearner.com,Voluntary,Baby million million soldier.,Foreman,3546
Sanaa,Glass,44844,Stephen Garcia,sanaa.glass@bilearner.com,Resignation,Bit reveal forget the.,Technician,3548
Ryan,Lynch,44122,Tracy Castro MD,ryan.lynch@bilearner.com,Retirement,Fact southern recognize themselves type mean.,Technician,3549
Charlie,Atkinson,44848,Jennifer Hicks,charlie.atkinson@bilearner.com,Resignation,Will person decade Republican.,Billing,3550
Harper,Ramos,43985,Maria Chan,harper.ramos@bilearner.com,Retirement,Stand possible truth bank on meet daughter.,Foreman,3552
Matilda,Randall,45053,Daniel Wolf,matilda.randall@bilearner.com,Resignation,Choose list of all nor stock.,Drafter,3555
Damien,Howe,43845,Sarah Petersen,damien.howe@bilearner.com,Retirement,Community material much behind.,Vp,3556
Wilson K,Adinolfi,44080,Andrea Gutierrez,wilson k.adinolfi@bilearner.com,Retirement,Age approach seek person across yes care.,Assistant,3559
Jean,Crimmings,44931,Stephen Rodriguez,jean.crimmings@bilearner.com,Retirement,Whom summer common produce despite follow.,Manager,3562
Susan,Lundy,44167,Diana Johnson,susan.lundy@bilearner.com,Resignation,Week degree party available measure.,Lineman,3564
Quinn,Rarrick,45136,Susan Brown,quinn.rarrick@bilearner.com,Involuntary,Couple really very hear.,Foreman,3568
Beatrice,Chace,44071,Margaret Hampton,beatrice.chace@bilearner.com,Involuntary,Trial little must kitchen recently.,Supervisor,3569
Adrienne J,Homberger,44495,Brandon Miller,adrienne j.homberger@bilearner.com,Voluntary,Change instead determine share far leg ground.,Engineer,3570
Marilyn,Linares,45124,Dr. Matthew Schmitt,marilyn.linares@bilearner.com,Resignation,Heavy throughout program.,Engineer,3571
Timothy,Sullivan,43970,Shawn Berry,timothy.sullivan@bilearner.com,Retirement,Where first Mr remember crime.,Engineer,3572
Jennifer,Medeiros,44486,Brittany Martin,jennifer.medeiros@bilearner.com,Involuntary,Cup purpose hundred region similar.,Driller,3573
Anna,Von Massenbach,44565,Timothy Weaver,anna.von massenbach@bilearner.com,Involuntary,News quite number answer program.,Laborer,3574
George,Johnson,44579,Amanda Smith,george.johnson@bilearner.com,Resignation,Big large training region.,Groundman,3575
Angela,Erilus,45042,Marc Cummings,angela.erilus@bilearner.com,Voluntary,Reflect off growth mouth have.,Project Manager,3576
Ross,Strickland,45047,Paul Walker,ross.strickland@bilearner.com,Voluntary,Memory high then mind concern carry level life.,Foreman,3581
Augustus,Drake,44685,Elizabeth Robertson,augustus.drake@bilearner.com,Retirement,Other might rise today.,Laborer,3582
Gracelyn,Huynh,44669,Tasha Mayer,gracelyn.huynh@bilearner.com,Retirement,Others those data before major how.,Construction Manager,3583
Jaqueline,Terrell,43506,Veronica Wiley,jaqueline.terrell@bilearner.com,Resignation,Identify next game leader.,Manager,3586
Quinn,Mccullough,44547,Katherine Gay,quinn.mccullough@bilearner.com,Resignation,Society red to able.,Administrative,3587
Selena,Greer,43692,Paul Lopez,selena.greer@bilearner.com,Retirement,Everybody no four arrive major ten culture.,Mechanic,3588
Dominik,Mullen,44847,Jessica Allen,dominik.mullen@bilearner.com,Retirement,Country as dream project office.,Laborer,3590
Abdullah,Ellison,45075,Dr. William Thompson,abdullah.ellison@bilearner.com,Voluntary,Quality decade director.,Supervisor,3591
Andre,Guzman,44730,Mrs. Audrey Gonzalez DDS,andre.guzman@bilearner.com,Voluntary,Particular network available hospital.,Technician,3592
Fisher,Stafford,44818,Nicole Delgado,fisher.stafford@bilearner.com,Resignation,Dark meeting play room head join truth involve.,Technician,3595
Brenton,Monroe,44300,Autumn Decker,brenton.monroe@bilearner.com,Retirement,Democrat themselves deal future early.,Foreman,3597
Derick,Rocha,45143,Alex Moore,derick.rocha@bilearner.com,Resignation,Majority executive plan imagine.,Supervisor,3598
Helena,Davenport,45070,Crystal Mcneil,helena.davenport@bilearner.com,Involuntary,Quality audience deal assume.,Engineer,3602
Houston,Aguirre,43517,Christine Costa,houston.aguirre@bilearner.com,Resignation,To trial deep.,Technician,3603
Kane,Owen,44804,Mark Hale,kane.owen@bilearner.com,Resignation,Sometimes surface page stand area.,Foreman,3604
Clarissa,Winters,44946,Eric Gonzales,clarissa.winters@bilearner.com,Involuntary,Poor list reduce reality.,Engineer,3606
Frankie,Atkins,44300,Christopher Murray,frankie.atkins@bilearner.com,Resignation,Finally build do analysis beyond heavy.,Coordinator,3607
Bridget,Deleon,44379,Clifford Martinez,bridget.deleon@bilearner.com,Voluntary,Store common between real.,Field Project Manager,3614
Martin,Weber,44826,Lee Hudson,martin.weber@bilearner.com,Retirement,View ever record ahead.,Manager,3615
Karissa,Bowers,45047,Robert Wright,karissa.bowers@bilearner.com,Involuntary,Some others lot miss land similar.,Technician,3619
Noel,Ramirez,45121,Mr. Nicholas Austin,noel.ramirez@bilearner.com,Involuntary,Outside sing song relationship action teach.,Specialist,3620
Danika,Fleming,44387,Christopher Ayers,danika.fleming@bilearner.com,Resignation,Song remember visit finish edge difficult down.,Laborer,3622
Gabriel,Dodson,44773,Tammy Navarro,gabriel.dodson@bilearner.com,Resignation,Interesting final piece follow.,Engineer,3625
Ruth,Harrell,44862,Jesse Wilson,ruth.harrell@bilearner.com,Resignation,Sport enter think order determine.,Supervisor,3627
Reginald,Lowery,44898,Dr. David Austin Jr.,reginald.lowery@bilearner.com,Voluntary,Expect grow back list letter.,Laborer,3629
Shaniya,Becker,44859,Kristin Salinas,shaniya.becker@bilearner.com,Retirement,Experience room top and including compare.,Apprentice,3631
Ryan,Oconnell,44858,Bridget Jones,ryan.oconnell@bilearner.com,Involuntary,Realize work series fact weight contain.,Foreman,3632
Keyon,Haley,45133,Eric Cunningham,keyon.haley@bilearner.com,Retirement,Despite budget compare international little.,Supervisor,3634
Jaylen,Acosta,43935,Mark Knight,jaylen.acosta@bilearner.com,Retirement,Official growth onto speech after truth.,Runner,3639
Kiersten,Ellis,44317,Eric Michael,kiersten.ellis@bilearner.com,Voluntary,Air act watch affect save positive among.,Operator,3641
Karissa,Carrillo,44512,Alexandra Martin,karissa.carrillo@bilearner.com,Retirement,Cold dinner seat property a hear.,Laborer,3642
Nathen,Arias,44226,Craig Leblanc,nathen.arias@bilearner.com,Involuntary,Best room cell task majority budget.,Engineer,3647
Amirah,Stanley,44620,Jason Jenkins,amirah.stanley@bilearner.com,Retirement,Late least forward bill realize camera.,Laborer,3650
Owen,Dillon,44800,Victoria Maldonado,owen.dillon@bilearner.com,Resignation,Window stuff western interesting.,Supervisor,3652
Bridget,Bray,45137,William Watson,bridget.bray@bilearner.com,Voluntary,Particular same detail note.,Foreman,3653
Emery,Gillespie,45114,Thomas Jackson,emery.gillespie@bilearner.com,Involuntary,Once simple the decade.,Technician,3658
Kaylee,Baldwin,43751,Eric Powell,kaylee.baldwin@bilearner.com,Voluntary,Second focus stay scientist.,Engineer,3659
Reagan,Brennan,44809,Denise Roman,reagan.brennan@bilearner.com,Involuntary,Decide group difference decide.,Vp,3661
Brandon,Anderson,44583,Sean Kennedy,brandon.anderson@bilearner.com,Retirement,Bar serious exist pretty.,Foreman,3663
Diana,Garza,44573,Robert Reid,diana.garza@bilearner.com,Involuntary,Let political issue.,Locator,3664
Davin,Peters,44947,Melissa Shaw,davin.peters@bilearner.com,Involuntary,Rule film know if eat hear.,Laborer,3666
Leyla,Warren,45044,Brooke Meyer,leyla.warren@bilearner.com,Resignation,Term southern major ever care.,Technician,3667
Victoria,Allen,45144,Christopher Clark,victoria.allen@bilearner.com,Voluntary,Rest such husband through his customer no look.,Operator,3668
Tyler,Hines,44997,Joshua Francis,tyler.hines@bilearner.com,Retirement,Let former service.,Clerk,3669
Sandra,Atkinson,45012,Walter Shaw,sandra.atkinson@bilearner.com,Resignation,Far happy light already.,Engineer,3670
Simone,Hayes,45096,Alexander Roberts,simone.hayes@bilearner.com,Involuntary,Edge cold language. Once bring quality hot.,Splicer,3671
Lane,Zuniga,44936,Casey Morris,lane.zuniga@bilearner.com,Voluntary,My teach piece need school fight rock.,Manager,3673
Isabelle,Shields,44622,Sarah Williamson,isabelle.shields@bilearner.com,Voluntary,Five carry couple goal western.,Engineer,3674
Mario,Mays,44924,Melissa Torres,mario.mays@bilearner.com,Resignation,Herself others song center word almost without.,Technician,3675
Kai,Gaines,44541,Mackenzie Porter,kai.gaines@bilearner.com,Involuntary,Central baby moment benefit do.,Administration,3683
Noelle,Levy,44920,Robert Simmons,noelle.levy@bilearner.com,Involuntary,Scientist believe edge imagine push bit fast.,Technician,3684
Kylie,Jimenez,44875,Jordan Harrison,kylie.jimenez@bilearner.com,Retirement,Factor doctor edge police.,Coordinator,3685
Carly,Figueroa,44907,Jesse Farmer,carly.figueroa@bilearner.com,Retirement,Concern expect add skill.,Director,3686
Brynn,Harding,44411,Kathleen Clark,brynn.harding@bilearner.com,Involuntary,Matter man skill produce poor.,Manager,3688
Jaylene,Deleon,44254,Adam Barber,jaylene.deleon@bilearner.com,Voluntary,Size manager receive decide attention play plant.,Laborer,3690
Amya,Vega,44073,Alexa Smith,amya.vega@bilearner.com,Involuntary,Name social full approach. Position want win.,Field Project Manager,3693
Nickolas,West,44667,Sue Harper,nickolas.west@bilearner.com,Involuntary,Training civil attention exist matter water.,Specialist,3694
Cason,Neal,44231,Savannah Schneider,cason.neal@bilearner.com,Voluntary,Public ask American affect market order.,Laborer,3695
Aldo,Dyer,45072,Chase Ramirez,aldo.dyer@bilearner.com,Resignation,Arrive its during organization about.,Foreman,3696
Julien,Banks,45076,Savannah Weber,julien.banks@bilearner.com,Involuntary,Usually section evening with cup left.,Foreman,3698
Madelyn,Mcdonald,44824,Justin Harris,madelyn.mcdonald@bilearner.com,Involuntary,Business draw with hear dream eat.,Engineer,3699
Addisyn,Guerrero,44738,Cory Lee,addisyn.guerrero@bilearner.com,Resignation,Tax herself interview maybe control.,Engineer,3703
Addisyn,Aguilar,44495,April Stevens,addisyn.aguilar@bilearner.com,Involuntary,Message firm social daughter third ready.,Associate,3704
Marcos,Gallagher,45025,Bridget Little,marcos.gallagher@bilearner.com,Involuntary,Any after despite suddenly decade.,Vp,3705
Case,Gaines,44824,Morgan Smith,case.gaines@bilearner.com,Resignation,Finally feeling often some.,Engineer,3708
Jacey,Reyes,45033,Donald Powell,jacey.reyes@bilearner.com,Voluntary,Provide late phone school score sound growth.,Splicer,3709
Kyra,Ray,44805,Christopher Robertson,kyra.ray@bilearner.com,Retirement,Year color woman become year scene very.,Technician,3712
Chaim,Chase,44975,David Goodman,chaim.chase@bilearner.com,Voluntary,Walk call activity onto seven about.,Laborer,3716
Dalton,Frazier,44491,Claudia White,dalton.frazier@bilearner.com,Voluntary,Save east phone arrive floor maybe.,Driver,3718
Crystal,Brandt,44086,Andrew Schneider,crystal.brandt@bilearner.com,Resignation,Young risk quality natural foreign claim.,Laborer,3720
Johnny,Goodman,43928,Loretta Gonzalez,johnny.goodman@bilearner.com,Resignation,Recent agent choose dark hard eye.,Engineer,3721
Nehemiah,Hancock,44570,Alice Key,nehemiah.hancock@bilearner.com,Involuntary,Fast glass machine compare after check.,Laborer,3722
Elliana,Villanueva,44758,Ryan Downs,elliana.villanueva@bilearner.com,Retirement,Everyone chair white situation result.,Laborer,3723
Essence,Schwartz,44499,Alyssa Johnson,essence.schwartz@bilearner.com,Retirement,Board star job song. Hundred believe heavy.,Laborer,3724
Ryker,Cox,45116,Stephanie Patterson,ryker.cox@bilearner.com,Voluntary,Child write help growth home.,Lineman,3725
Averi,Stevenson,44457,Sandra Richardson,averi.stevenson@bilearner.com,Voluntary,Great like sea behind stock drop debate such.,Lineman,3726
Heaven,Walls,45111,Natasha Spears,heaven.walls@bilearner.com,Voluntary,Until reason late off training situation.,Supervisor,3729
Maximus,Fields,44909,Kimberly Phelps,maximus.fields@bilearner.com,Retirement,Along black change charge particular conference.,Engineer,3731
Halle,Boyd,44765,Deborah Stevens,halle.boyd@bilearner.com,Retirement,Half glass sport. Oil arm middle play lose such.,Driver,3733
Carsen,Wheeler,45007,Kimberly Soto,carsen.wheeler@bilearner.com,Resignation,Democrat home space past sense serious.,Laborer,3736
